manifest_id,filename,relative_path,category,subcategory,k8s_kind,api_version,source_type,source_reference,violation_type,expected_result,description
M001,m001_rbac_wildcard_all_1.yaml,rbac/m001_rbac_wildcard_all_1.yaml,rbac,wildcard_all,ClusterRole,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,wildcard_all,fail,RBAC rule grants wildcard verbs and resources
M002,m002_rbac_wildcard_verbs_2.yaml,rbac/m002_rbac_wildcard_verbs_2.yaml,rbac,wildcard_verbs,Role,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,wildcard_verbs,fail,RBAC rule uses wildcard verbs
M003,m003_rbac_cluster_admin_binding_3.yaml,rbac/m003_rbac_cluster_admin_binding_3.yaml,rbac,cluster_admin_binding,ClusterRoleBinding,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,cluster_admin_binding,fail,Cluster-admin role binding is overly broad
M004,m004_rbac_secret_access_4.yaml,rbac/m004_rbac_secret_access_4.yaml,rbac,secret_access,Role,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,secret_access,fail,Role grants broad access to secrets
M005,m005_rbac_default_sa_binding_5.yaml,rbac/m005_rbac_default_sa_binding_5.yaml,rbac,default_sa_binding,RoleBinding,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,default_sa_binding,fail,Default service account is bound to elevated permissions
M006,m006_rbac_node_proxy_6.yaml,rbac/m006_rbac_node_proxy_6.yaml,rbac,node_proxy,ClusterRole,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,node_proxy,fail,Role grants access to node proxy or node-level resources
M007,m007_rbac_wildcard_all_7.yaml,rbac/m007_rbac_wildcard_all_7.yaml,rbac,wildcard_all,ClusterRole,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,wildcard_all,fail,RBAC rule grants wildcard verbs and resources
M008,m008_rbac_wildcard_verbs_8.yaml,rbac/m008_rbac_wildcard_verbs_8.yaml,rbac,wildcard_verbs,Role,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,wildcard_verbs,fail,RBAC rule uses wildcard verbs
M009,m009_rbac_cluster_admin_binding_9.yaml,rbac/m009_rbac_cluster_admin_binding_9.yaml,rbac,cluster_admin_binding,ClusterRoleBinding,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,cluster_admin_binding,fail,Cluster-admin role binding is overly broad
M010,m010_rbac_secret_access_10.yaml,rbac/m010_rbac_secret_access_10.yaml,rbac,secret_access,Role,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,secret_access,fail,Role grants broad access to secrets
M011,m011_rbac_default_sa_binding_11.yaml,rbac/m011_rbac_default_sa_binding_11.yaml,rbac,default_sa_binding,RoleBinding,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,default_sa_binding,fail,Default service account is bound to elevated permissions
M012,m012_rbac_node_proxy_12.yaml,rbac/m012_rbac_node_proxy_12.yaml,rbac,node_proxy,ClusterRole,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,node_proxy,fail,Role grants access to node proxy or node-level resources
M013,m013_rbac_wildcard_all_13.yaml,rbac/m013_rbac_wildcard_all_13.yaml,rbac,wildcard_all,ClusterRole,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,wildcard_all,fail,RBAC rule grants wildcard verbs and resources
M014,m014_rbac_wildcard_verbs_14.yaml,rbac/m014_rbac_wildcard_verbs_14.yaml,rbac,wildcard_verbs,Role,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,wildcard_verbs,fail,RBAC rule uses wildcard verbs
M015,m015_rbac_cluster_admin_binding_15.yaml,rbac/m015_rbac_cluster_admin_binding_15.yaml,rbac,cluster_admin_binding,ClusterRoleBinding,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,cluster_admin_binding,fail,Cluster-admin role binding is overly broad
M016,m016_rbac_secret_access_16.yaml,rbac/m016_rbac_secret_access_16.yaml,rbac,secret_access,Role,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,secret_access,fail,Role grants broad access to secrets
M017,m017_rbac_default_sa_binding_17.yaml,rbac/m017_rbac_default_sa_binding_17.yaml,rbac,default_sa_binding,RoleBinding,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,default_sa_binding,fail,Default service account is bound to elevated permissions
M018,m018_rbac_node_proxy_18.yaml,rbac/m018_rbac_node_proxy_18.yaml,rbac,node_proxy,ClusterRole,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,node_proxy,fail,Role grants access to node proxy or node-level resources
M019,m019_rbac_wildcard_all_19.yaml,rbac/m019_rbac_wildcard_all_19.yaml,rbac,wildcard_all,ClusterRole,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,wildcard_all,fail,RBAC rule grants wildcard verbs and resources
M020,m020_rbac_wildcard_verbs_20.yaml,rbac/m020_rbac_wildcard_verbs_20.yaml,rbac,wildcard_verbs,Role,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,wildcard_verbs,fail,RBAC rule uses wildcard verbs
M021,m021_rbac_cluster_admin_binding_21.yaml,rbac/m021_rbac_cluster_admin_binding_21.yaml,rbac,cluster_admin_binding,ClusterRoleBinding,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,cluster_admin_binding,fail,Cluster-admin role binding is overly broad
M022,m022_rbac_secret_access_22.yaml,rbac/m022_rbac_secret_access_22.yaml,rbac,secret_access,Role,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,secret_access,fail,Role grants broad access to secrets
M023,m023_rbac_default_sa_binding_23.yaml,rbac/m023_rbac_default_sa_binding_23.yaml,rbac,default_sa_binding,RoleBinding,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,default_sa_binding,fail,Default service account is bound to elevated permissions
M024,m024_rbac_node_proxy_24.yaml,rbac/m024_rbac_node_proxy_24.yaml,rbac,node_proxy,ClusterRole,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,node_proxy,fail,Role grants access to node proxy or node-level resources
M025,m025_rbac_wildcard_all_25.yaml,rbac/m025_rbac_wildcard_all_25.yaml,rbac,wildcard_all,ClusterRole,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,wildcard_all,fail,RBAC rule grants wildcard verbs and resources
M026,m026_rbac_wildcard_verbs_26.yaml,rbac/m026_rbac_wildcard_verbs_26.yaml,rbac,wildcard_verbs,Role,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,wildcard_verbs,fail,RBAC rule uses wildcard verbs
M027,m027_rbac_cluster_admin_binding_27.yaml,rbac/m027_rbac_cluster_admin_binding_27.yaml,rbac,cluster_admin_binding,ClusterRoleBinding,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,cluster_admin_binding,fail,Cluster-admin role binding is overly broad
M028,m028_rbac_secret_access_28.yaml,rbac/m028_rbac_secret_access_28.yaml,rbac,secret_access,Role,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,secret_access,fail,Role grants broad access to secrets
M029,m029_rbac_default_sa_binding_29.yaml,rbac/m029_rbac_default_sa_binding_29.yaml,rbac,default_sa_binding,RoleBinding,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,default_sa_binding,fail,Default service account is bound to elevated permissions
M030,m030_rbac_node_proxy_30.yaml,rbac/m030_rbac_node_proxy_30.yaml,rbac,node_proxy,ClusterRole,rbac.authorization.k8s.io/v1,synthetic_from_public_patterns,Kubernetes RBAC least-privilege anti-patterns,node_proxy,fail,Role grants access to node proxy or node-level resources
