manifest_id,filename,relative_path,category,source_folder,violation_type,expected_result,notes
m001,m001_rbac_wildcard_all_1.yaml,rbac/m001_rbac_wildcard_all_1.yaml,rbac,rbac,wildcard_all,fail,RBAC rule grants wildcard verbs and resources
m002,m002_rbac_wildcard_verbs_2.yaml,rbac/m002_rbac_wildcard_verbs_2.yaml,rbac,rbac,wildcard_verbs,fail,RBAC rule uses wildcard verbs
m003,m003_rbac_cluster_admin_binding_3.yaml,rbac/m003_rbac_cluster_admin_binding_3.yaml,rbac,rbac,cluster_admin_binding,fail,Cluster-admin role binding is overly broad
m004,m004_rbac_secret_access_4.yaml,rbac/m004_rbac_secret_access_4.yaml,rbac,rbac,secret_access,fail,Role grants broad access to secrets
m005,m005_rbac_default_sa_binding_5.yaml,rbac/m005_rbac_default_sa_binding_5.yaml,rbac,rbac,default_sa_binding,fail,Default service account is bound to elevated permissions
m006,m006_rbac_node_proxy_6.yaml,rbac/m006_rbac_node_proxy_6.yaml,rbac,rbac,node_proxy,fail,Role grants access to node proxy or node-level resources
m007,m007_rbac_wildcard_all_7.yaml,rbac/m007_rbac_wildcard_all_7.yaml,rbac,rbac,wildcard_all,fail,RBAC rule grants wildcard verbs and resources
m008,m008_rbac_wildcard_verbs_8.yaml,rbac/m008_rbac_wildcard_verbs_8.yaml,rbac,rbac,wildcard_verbs,fail,RBAC rule uses wildcard verbs
m009,m009_rbac_cluster_admin_binding_9.yaml,rbac/m009_rbac_cluster_admin_binding_9.yaml,rbac,rbac,cluster_admin_binding,fail,Cluster-admin role binding is overly broad
m010,m010_rbac_secret_access_10.yaml,rbac/m010_rbac_secret_access_10.yaml,rbac,rbac,secret_access,fail,Role grants broad access to secrets
m011,m011_rbac_default_sa_binding_11.yaml,rbac/m011_rbac_default_sa_binding_11.yaml,rbac,rbac,default_sa_binding,fail,Default service account is bound to elevated permissions
m012,m012_rbac_node_proxy_12.yaml,rbac/m012_rbac_node_proxy_12.yaml,rbac,rbac,node_proxy,fail,Role grants access to node proxy or node-level resources
m013,m013_rbac_wildcard_all_13.yaml,rbac/m013_rbac_wildcard_all_13.yaml,rbac,rbac,wildcard_all,fail,RBAC rule grants wildcard verbs and resources
m014,m014_rbac_wildcard_verbs_14.yaml,rbac/m014_rbac_wildcard_verbs_14.yaml,rbac,rbac,wildcard_verbs,fail,RBAC rule uses wildcard verbs
m015,m015_rbac_cluster_admin_binding_15.yaml,rbac/m015_rbac_cluster_admin_binding_15.yaml,rbac,rbac,cluster_admin_binding,fail,Cluster-admin role binding is overly broad
m016,m016_rbac_secret_access_16.yaml,rbac/m016_rbac_secret_access_16.yaml,rbac,rbac,secret_access,fail,Role grants broad access to secrets
m017,m017_rbac_default_sa_binding_17.yaml,rbac/m017_rbac_default_sa_binding_17.yaml,rbac,rbac,default_sa_binding,fail,Default service account is bound to elevated permissions
m018,m018_rbac_node_proxy_18.yaml,rbac/m018_rbac_node_proxy_18.yaml,rbac,rbac,node_proxy,fail,Role grants access to node proxy or node-level resources
m019,m019_rbac_wildcard_all_19.yaml,rbac/m019_rbac_wildcard_all_19.yaml,rbac,rbac,wildcard_all,fail,RBAC rule grants wildcard verbs and resources
m020,m020_rbac_wildcard_verbs_20.yaml,rbac/m020_rbac_wildcard_verbs_20.yaml,rbac,rbac,wildcard_verbs,fail,RBAC rule uses wildcard verbs
m021,m021_rbac_cluster_admin_binding_21.yaml,rbac/m021_rbac_cluster_admin_binding_21.yaml,rbac,rbac,cluster_admin_binding,fail,Cluster-admin role binding is overly broad
m022,m022_rbac_secret_access_22.yaml,rbac/m022_rbac_secret_access_22.yaml,rbac,rbac,secret_access,fail,Role grants broad access to secrets
m023,m023_rbac_default_sa_binding_23.yaml,rbac/m023_rbac_default_sa_binding_23.yaml,rbac,rbac,default_sa_binding,fail,Default service account is bound to elevated permissions
m024,m024_rbac_node_proxy_24.yaml,rbac/m024_rbac_node_proxy_24.yaml,rbac,rbac,node_proxy,fail,Role grants access to node proxy or node-level resources
m025,m025_rbac_wildcard_all_25.yaml,rbac/m025_rbac_wildcard_all_25.yaml,rbac,rbac,wildcard_all,fail,RBAC rule grants wildcard verbs and resources
m026,m026_rbac_wildcard_verbs_26.yaml,rbac/m026_rbac_wildcard_verbs_26.yaml,rbac,rbac,wildcard_verbs,fail,RBAC rule uses wildcard verbs
m027,m027_rbac_cluster_admin_binding_27.yaml,rbac/m027_rbac_cluster_admin_binding_27.yaml,rbac,rbac,cluster_admin_binding,fail,Cluster-admin role binding is overly broad
m028,m028_rbac_secret_access_28.yaml,rbac/m028_rbac_secret_access_28.yaml,rbac,rbac,secret_access,fail,Role grants broad access to secrets
m029,m029_rbac_default_sa_binding_29.yaml,rbac/m029_rbac_default_sa_binding_29.yaml,rbac,rbac,default_sa_binding,fail,Default service account is bound to elevated permissions
m030,m030_rbac_node_proxy_30.yaml,rbac/m030_rbac_node_proxy_30.yaml,rbac,rbac,node_proxy,fail,Role grants access to node proxy or node-level resources
m031,m031_security_privileged_1.yaml,security/m031_security_privileged_1.yaml,security_context,security,privileged,fail,Privileged container is enabled
m032,m032_security_run_as_root_2.yaml,security/m032_security_run_as_root_2.yaml,security_context,security,run_as_root,fail,Container is allowed to run as root
m033,m033_security_privilege_escalation_3.yaml,security/m033_security_privilege_escalation_3.yaml,security_context,security,privilege_escalation,fail,Privilege escalation is allowed or not explicitly disabled
m034,m034_security_writable_rootfs_4.yaml,security/m034_security_writable_rootfs_4.yaml,security_context,security,writable_rootfs,fail,Container root filesystem is writable
m035,m035_security_capabilities_5.yaml,security/m035_security_capabilities_5.yaml,security_context,security,capabilities,fail,Container adds risky Linux capabilities or does not drop them
m036,m036_security_hostnetwork_6.yaml,security/m036_security_hostnetwork_6.yaml,security_context,security,hostnetwork,fail,Pod uses hostNetwork
m037,m037_security_hostpid_7.yaml,security/m037_security_hostpid_7.yaml,security_context,security,hostpid,fail,Pod uses hostPID
m038,m038_security_unconfined_seccomp_8.yaml,security/m038_security_unconfined_seccomp_8.yaml,security_context,security,unconfined_seccomp,fail,Seccomp profile is unconfined or missing
m039,m039_security_privileged_9.yaml,security/m039_security_privileged_9.yaml,security_context,security,privileged,fail,Privileged container is enabled
m040,m040_security_run_as_root_10.yaml,security/m040_security_run_as_root_10.yaml,security_context,security,run_as_root,fail,Container is allowed to run as root
m041,m041_security_privilege_escalation_11.yaml,security/m041_security_privilege_escalation_11.yaml,security_context,security,privilege_escalation,fail,Privilege escalation is allowed or not explicitly disabled
m042,m042_security_writable_rootfs_12.yaml,security/m042_security_writable_rootfs_12.yaml,security_context,security,writable_rootfs,fail,Container root filesystem is writable
m043,m043_security_capabilities_13.yaml,security/m043_security_capabilities_13.yaml,security_context,security,capabilities,fail,Container adds risky Linux capabilities or does not drop them
m044,m044_security_hostnetwork_14.yaml,security/m044_security_hostnetwork_14.yaml,security_context,security,hostnetwork,fail,Pod uses hostNetwork
m045,m045_security_hostpid_15.yaml,security/m045_security_hostpid_15.yaml,security_context,security,hostpid,fail,Pod uses hostPID
m046,m046_security_unconfined_seccomp_16.yaml,security/m046_security_unconfined_seccomp_16.yaml,security_context,security,unconfined_seccomp,fail,Seccomp profile is unconfined or missing
m047,m047_security_privileged_17.yaml,security/m047_security_privileged_17.yaml,security_context,security,privileged,fail,Privileged container is enabled
m048,m048_security_run_as_root_18.yaml,security/m048_security_run_as_root_18.yaml,security_context,security,run_as_root,fail,Container is allowed to run as root
m049,m049_security_privilege_escalation_19.yaml,security/m049_security_privilege_escalation_19.yaml,security_context,security,privilege_escalation,fail,Privilege escalation is allowed or not explicitly disabled
m050,m050_security_writable_rootfs_20.yaml,security/m050_security_writable_rootfs_20.yaml,security_context,security,writable_rootfs,fail,Container root filesystem is writable
m051,m051_security_capabilities_21.yaml,security/m051_security_capabilities_21.yaml,security_context,security,capabilities,fail,Container adds risky Linux capabilities or does not drop them
m052,m052_security_hostnetwork_22.yaml,security/m052_security_hostnetwork_22.yaml,security_context,security,hostnetwork,fail,Pod uses hostNetwork
m053,m053_security_hostpid_23.yaml,security/m053_security_hostpid_23.yaml,security_context,security,hostpid,fail,Pod uses hostPID
m054,m054_security_unconfined_seccomp_24.yaml,security/m054_security_unconfined_seccomp_24.yaml,security_context,security,unconfined_seccomp,fail,Seccomp profile is unconfined or missing
